Question,Answer,Quotes
إيه اللي كان غريب في سوق الخضار الأولاني حسب توقعات المتحدث؟,إنه شغال بالليل.,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1718, 'end_char': 1806}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1809, 'end_char': 1863}]"
إيه اللي ميّز الفاكهة والخضار في السوق الأولاني؟,طزاجتهم.,"[{'text': 'الفاكهه طازه والخضار شكله طازه', 'start_char': 738, 'end_char': 770}]"
على أي بُعد كان السوق الأولاني من المدينة؟,نص ساعه بره المدينه,"[{'text': 'نص ساعه بره المدينه', 'start_char': 303, 'end_char': 321}]"
إيه اللي كان غريب في مواعيد السوق الأولاني بالنسبة للمتحدث؟,سوق خضار شغال بالليل.,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1533, 'end_char': 1616}]"
,,
إيه وسيلة المواصلات اللي طلبها عشان يروح الترين ستريت؟,سكوتر,"[{'text': 'سكوتر', 'start_char': 1456, 'end_char': 1460}]"
ليه المتحدث قرر ميفضلش في السوق الأول؟,عشان يستغل وقته.,"[{'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل ، عادي جدا . يومنا طويل وبراحتنا', 'start_char': 509, 'end_char': 558}, {'text': 'ا مش هنضيع وقت هنا كتير ، هنرجع له تاني', 'start_char': 622, 'end_char': 659}]"
إيه كانت طبيعة السوق الأولاني اللي زاره المتحدث؟,سوق محلي.,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 221, 'end_char': 270}, {'text': 'احنا بعدنا بعيد تماما عن السياحه وعن المدينه', 'start_char': 273, 'end_char': 317}]"
"ليه الشارع في هانوي بيتسمى ""ترين ستريت""؟",عشان بيبقى الشارع القطورة رايحه جايه فيه,"[{'text': 'عشان بيبقى الشارع القطورة رايحه جايه فيه', 'start_char': 1309, 'end_char': 1347}]"
إيه التناقض اللي لاحظه المتحدث في مواعيد السوق الأول؟,إنه سوق خضار ليلي.,"[{'text': 'بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1051, 'end_char': 1085}, {'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1631, 'end_char': 1711}]"
إزاي وصف المتحدث حالة الطقس في هانوي؟,رطب.,"[{'text': 'الجو بقى الرطوبه عاليه', 'start_char': 1541, 'end_char': 1561}, {'text': 'جد والله الرطوبه رهيبه', 'start_char': 1618, 'end_char': 1639}]"
كام كان سعر فاكهة الجاك فروت في السوق؟,بدولار واحد,"[{'text': 'بدولار واحد', 'start_char': 864, 'end_char': 874}]"
توقيت عمل السوق بيدل على إيه بخصوص السكان المحليين؟,بيشتروا الخضار بالليل,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 140, 'end_char': 189}, {'text': 'عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 419, 'end_char': 465}]"
إيه النشاط المفضل للمتحدث في رحلاته الآسيوية؟,التسوق.,"[{'text': 'ده احلى يوم بحبه في رحلات اسيا ، يوم الماركتز ، الاسواق بتاعتهم شكلها عامل ازاي', 'start_char': 0, 'end_char': 78}]"
إيه نوع المانجا اللي عادةً بتتقدم للسياح في العاصمة؟,المانجا الصفرا الطويله,"[{'text': 'دايما في المانجا الصفرا الطويله ، دي بيقطعوها للناس للسياح في الشارع', 'start_char': 638, 'end_char': 699}]"
إزاي مواعيد السوق الأول أثرت على خطة المتحدث؟,راح سوق تاني ورجعله,"[{'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 447, 'end_char': 489}, {'text': 'ا مش هنضيع وقت هنا كتير ، هنرجع له تاني ، بس تعالوا نروح ماركت اهم واحلى والذ', 'start_char': 624, 'end_char': 699}]"
ليه المتحدث شاف أنواع مانجا في السوق الأول مش موجودة في أسواق العاصمة السياحية؟,لأنه مخصص للمحليين.,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 227, 'end_char': 273}, {'text': 'دايما في المانجا الصفرا الطويله ، دي بيقطعوها للناس للسياح في الشارع ، لكن في هنا انواع مانجا كتير ما شفتهاش جوه نهائي', 'start_char': 428, 'end_char': 535}]"
"ليه بيسموا سوق القطر ""ترين ستريت""؟",عشان بيبقى الشارع القطورة رايحه جايه فيه,"[{'text': 'عشان بيبقى الشارع القطورة رايحه جايه فيه', 'start_char': 766, 'end_char': 805}]"
إيه الفرق الأساسي بين زوار السوق الأول والسوق التاني؟,الأول محلي، التاني عالمي,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 153, 'end_char': 200}, {'text': 'والناس بتجي بقى مخصوص من كل مكان في العالم عشان تحضر الماركت ده', 'start_char': 818, 'end_char': 893}]"
إيه كان تأثير الرطوبة العالية في هانوي على المتحدث؟,جسمه كله عرق,"[{'text': 'الجو بقى الرطوبه عاليه ، بتوقف دقيقتين بتلاقي بقى ايه جسمك كله ميه وعرق', 'start_char': 863, 'end_char': 929}]"
المتحدث طلب إيه عشان يتنقل من السوق الأول للترين ستريت؟,طلبنا سكوتر يجي ياخدنا,"[{'text': 'طلبنا سكوتر يجي ياخدنا', 'start_char': 847, 'end_char': 869}]"
إيه اللي ممكن نستنتجه عن الزراعة في فيتنام من كلام المتحدث؟,إنتاج الفواكه وفير جداً,"[{'text': 'دراجون فروت مرميه في الارض .', 'start_char': 961, 'end_char': 985}, {'text': 'متخيلين دي بتتحط عندنا بتتحط جوه التلاجه ، مقفول عليها وحاطين سعر مثلا ايه 1000 جنيه', 'start_char': 988, 'end_char': 1073}]"
ليه المتحدث نصح المشاهدين يلبسوا خوذة في هانوي؟,بسبب خطورة الشوارع.,"[{'text': 'يا جماعه البسوا هلمت عشان الدنيا اخطر', 'start_char': 1106, 'end_char': 1141}]"
السوق الأول كان على بعد قد إيه من المدينة؟,نص ساعه بره المدينه,"[{'text': 'نص ساعه بره المدينه', 'start_char': 222, 'end_char': 240}]"
ليه متوقع إن أسعار السوق الأول أرخص من سوق القطر؟,لأنه سوق سكان محليين,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 153, 'end_char': 201}, {'text': 'والناس بتجي بقى مخصوص من كل مكان في العالم عشان تحضر الماركت ده', 'start_char': 765, 'end_char': 839}]"
إيه اللي ميّز الخضار والفاكهة في السوق الأول؟,الطزاجة.,"[{'text': 'الفاكهه طازه والخضار شكله طازه', 'start_char': 538, 'end_char': 570}]"
إيه نوع المانجا اللي بتتقطع للسياح في شوارع العاصمة؟,المانجا الصفرا الطويله,"[{'text': 'المانجا الصفرا الطويله', 'start_char': 389, 'end_char': 410}]"
المتحدث ناوي يزور كام سوق مختلف في هانوي؟,سوقين,"[{'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 865, 'end_char': 899}]"
