Question,Answer,Quotes
ما هو الدافع النفسي للمستهلك الذي تعتمد عليه شركات الضمان؟,تجنب إزعاج تعطل المنتج,"[{'text': 'لو المكيف او المروحه او اي حاجه موجوده عندك باظت ، انت انت هتضايق ان هي باظت وهتفضل قاعد كده هوو مستني لحد لما الضمان يجي علشان يصلحها .', 'start_char': 998, 'end_char': 1122}, {'text': 'فالعادي عند الناس عشان تتجنب ان الشيء ده يحصل ، الموقف ده يحصل ، ان هم بيخلوا بالهم من الحاجه بتاعتهم .', 'start_char': 1123, 'end_char': 1223}]"
إيه طبيعة العلاقة بين الشركة الأساسية وشركة الضمان؟,علاقة تعاونية,"[{'text': 'الشركه الاساسيه بتكون متعاونه مع شركه الضمان دي اللي عندها الناس اللي بتصلح وبيدوا لهم فلوس علشان شركة الضمان دي تكون مديه الضمان ليك انت المستهلك ان في حاله لو الحاجه بتاعتك باظت هم هيجوا يصلحوهلك .', 'start_char': 1735, 'end_char': 1930}]"
المتحدث عمل إيه لما مقدرش يستنى خدمة الضمان؟,دخل على اليوتيوب عشان يدور بنفسه عن سبب الصوت.,"[{'text': 'فانا ما قدرتش استنى ودخلت على اليوتيوب ابدا ادور بنفسي عن سبب الصوت ده', 'start_char': 458, 'end_char': 528}]"
إزاي علاقة المصنع بالضمان أثرت على تجربة المتحدث؟,سببت تعقيد الإجراءات.,"[{'text': 'كلمت الشركه والشركه حولتني للناس بتوع الضمان لحد لما ادوني رقم وفضلت قاعد مستني . الموضوع كان رزل صراحه .', 'start_char': 142, 'end_char': 228}, {'text': 'الشركه الاساسيه بتكون متعاونه مع شركه الضمان دي اللي عندها الناس اللي بتصلح', 'start_char': 2073, 'end_char': 2146}]"
إزاي أثر موقف زوجة المتحدث الرافض لصوت التلاجة على تصرفه؟,جعله يتصرف بسرعة.,"[{'text': 'بالنسبه لمراتي ده شيء مرفوض تماما .', 'start_char': 101, 'end_char': 135}, {'text': 'فبسرعه قبل ما مراتي تعرف الموضوع ده . كلمت الشركه', 'start_char': 184, 'end_char': 230}]"
إيه اللي اكتشفه المتحدث بخصوص صوت التلاجة الجديدة؟,اكتشف إنه شيء عادي إن التلاجة الجديدة تصدر صوت في أول فترة بعد تركيبها.,"[{'text': 'طلع ان ده شيء عادي جدا ان في معظم الاوقات اي تلاجه جديده بتتركب ممكن تطلع صوت في اول فتره كده واول كم يوم وبعد كده الصوت بيروح .', 'start_char': 561, 'end_char': 716}]"
وفقًا للنص، إيه الفايدة اللي بتعود على الشركة المصنّعة من التعاون مع شركة ضمان منفصلة؟,التخلّص من مسئولية التصليح.,"[{'text': 'الشركه الاساسيه بتكون متعاونه مع شركه الضمان دي اللي عندها الناس اللي بتصلح وبيدوا لهم فلوس', 'start_char': 2005, 'end_char': 2092}, {'text': 'علشان شركة الضمان دي تكون مديه الضمان ليك انت المستهلك ان في حاله لو الحاجه بتاعتك باظت هم هيجوا يصلحوهلك .', 'start_char': 2093, 'end_char': 2202}]"
حسب رأي المتحدث، على ماذا تعتمد شركات الضمان لتحقيق الربح؟,على حرص المستهلك.,"[{'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته .', 'start_char': 1199, 'end_char': 1280}]"
وفقًا للمتحدث، منين هتعرف زوجته بمشكلة صوت التلاجة لأول مرة؟,من الفيديو اللي كان بيتكلم فيه.,"[{'text': 'هي هتعرف المعلومه دي لاول مره من الفيديو ده', 'start_char': 185, 'end_char': 228}]"
إيه الخطر المالي على شركات الضمان لو تجربة المتحدث اتكررت؟,العملاء هيبطلوا يشتروه.,"[{'text': 'دورت اكتر عشان افهم الفكره بتاعه الضمان اللي انا دفعت فلوسه على الفاضي ده وعلى كل المنتجات التانيه اللي انا جبتها', 'start_char': 601, 'end_char': 721}, {'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته . فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 1386, 'end_char': 1519}]"
,,
إيه اللي بيحصل للضمان لما صلاحية المنتج بتنتهي؟,بيكون الضمان خلص.,"[{'text': 'هيكون كده كده الضمان بتاعك خلص', 'start_char': 1523, 'end_char': 1553}]"
"إيه سبب ""الموال"" اللي واجهه المتحدث مع تلاجته الجديدة؟",نقل مسؤولية التصليح,"[{'text': 'كلمت الشركه والشركه حولتني للناس بتوع الضمان', 'start_char': 145, 'end_char': 184}, {'text': 'الشركة الاساسيه بتكون متعاونه مع شركه الضمان دي اللي عندها الناس اللي بتصلح', 'start_char': 1918, 'end_char': 1982}]"
,,
إيه الإجراء الإضافي اللي عمله المتحدث لفهم فكرة الضمان؟,عمل مقابلة مع واحد خبير.,"[{'text': 'بل انا عملت مقابله مع واحد خبير يشرح لنا التجربه بتاعته .', 'start_char': 723, 'end_char': 781}]"
ما الدليل الذي قدمه المتحدث على نجاح تخدير المشاعر العربية؟,ضعف التفاعل مع مأساة لبنان,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل .', 'start_char': 764, 'end_char': 864}, {'text': 'ودلوقتي الحرب بدات في لبنان وانا بتكلم معاكم وفي يوم واحد في 500 شخص توفوا في لبنان ولكن ما دخلناش جوه الحاله دي', 'start_char': 341, 'end_char': 445}]"
بمَ وصف المتحدث إحساسه تجاه ضرورة عمل الفيديو؟,بالإلزام,"[{'text': 'بل انا حاسس ان انا لازم اعمل فيديو زي ده عشان اتكلم معاكم على كذا حاجه مهمه .', 'start_char': 88, 'end_char': 157}]"
المتحدث وصف القناة بتاعته بإنها إيه؟,المدونة البصرية بتاعته.,"[{'text': 'وهي المدونه البصريه بتاعتي اللي بعمل لها ابديت وبحدثها كده هو كل اسبوع', 'start_char': 1690, 'end_char': 1761}]"
إيه الدليل اللي قدمه المتحدث على نجاح الحرب النفسية؟,تفاوت رد الفعل تجاه لبنان.,"[{'text': 'كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 300, 'end_char': 380}, {'text': 'وفي يوم واحد في 500 شخص توفوا في لبنان ولكن ما دخلناش جوه الحاله دي', 'start_char': 421, 'end_char': 481}]"
,,
إيه أنواع المحتوى اللي المتحدث أكد إن الفيديو ده مش منها؟,فيديو وثائقي، أو فيه هزار، أو فيه تجربة غريبة، أو فيديو قوائم.,"[{'text': 'لا ده مش فيديو وثائقي لا ده مش فيديو هيكون فيه هزار وده مش فيديو هيكون فيه تجربه غريبه بتحصل او او فيديو قوائم', 'start_char': 886, 'end_char': 987}]"
إزاي الأعداء بيستغلوا تعودنا على المآسي في حربهم النفسية؟,لقتلنا معنويًا.,"[{'text': 'ازاي احنا فعلا مع الوقت ممكن نتعود على حاجات في منتهى البشاعه', 'start_char': 284, 'end_char': 352}, {'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 353, 'end_char': 460}]"
,,
إيه كانت الحالة اللي وصفها المتحدث في العالم العربي في بداية الحرب؟,مهزوزين وخايفين جداً على أهلهم هناك.,"[{'text': 'كلنا كنا مهزوزين ويعني خايفين جدا على اهلنا هناك', 'start_char': 241, 'end_char': 292}]"
إيه دافع المتحدث لتوثيق هذه اللحظة تاريخياً؟,حفظ لحظة تاريخية بمدونته,"[{'text': 'القناه دي محمود اسماعيل تي في من لما بدات لحد يومنا هذا وهي المدونه البصريه بتاعتي', 'start_char': 1335, 'end_char': 1424}, {'text': 'الشيء اللي انا عاوز ادون عنه الشيء اللي انا عاوز اتكلم عليه واللي عاوز فعلا احفظه واحفظ اللحظه الغريبه في في التاريخ', 'start_char': 1493, 'end_char': 1605}]"
,,
حذر المتحدث من اعتبار اعترافه بالتعود على المآسي بمثابة إيه؟,انهزامية أو اعتراف بأن الأعداء فازوا.,"[{'text': 'واعترافي بشيء زي ده دي ما تعتبرش انهزاميه او تعتبر ان انا بعترف ان هم قتلوا الروح بتاعتنا وهم فازوا وخلاص', 'start_char': 1109, 'end_char': 1213}]"
إزاي التعود على الأخبار الصعبة بيخدم أهداف الأعداء؟,عن طريق قتل الروح المعنوية.,"[{'text': 'وازاي احنا فعلا مع الوقت ممكن نتعود على حاجات في منتهى البشاعه', 'start_char': 534, 'end_char': 593}, {'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 598, 'end_char': 697}]"
,,
إيه كان هدف المتحدث من تفسير شعوره بالتعود على المآسي؟,تفسير سبب الشعور ده وليه الناس بتحس بيه وبتمل منه.,"[{'text': 'انا قصدي ان انا افسر لكم ايه سبب الشعور ده تمام وليه احنا بنحس بيه وليه احنا بنمل مع ان الموضوع بقى قاسي .', 'start_char': 1228, 'end_char': 1309}]"
إيه الفرق بين آلية عمل الكافيين كمنبه وعلاجه للصداع؟,استهداف المستقبلات مقابل الأوعية الدموية,"[{'text': 'لما بتشرب كوبايه القهوه ، الكافيين بيرتبط بمستقبلات الادينوسين في الدماغ ، وده بيخلي الكافين ياخد مكان الادينوسين جوه دماغك', 'start_char': 1403, 'end_char': 1541}, {'text': 'الكافيين بيقلل من تدفق الدم للمخ بحوالي 27 % ، واللي بدوره بيقلل من عمليه تضخم الاوعيه الدمويه في الدماغ', 'start_char': 2537, 'end_char': 2646}]"
إيه اللي بيجمع بين الكافيين والأدينوسين في تكوينهم؟,التشابه الكيميائي,"[{'text': 'الكافين بيشبه في البنيه الكيميائيه بتاعته ماده بتتكون في الدماغ اسمها الادينوسين', 'start_char': 1318, 'end_char': 1400}]"
إيه تأثير الكافيين على تدفق الدم للمخ حسب كلام الباحثين؟,بيقلل من تدفق الدم للمخ بنسبة 27 % تقريباً.,"[{'text': 'بيقلل من تدفق الدم للمخ بحوالي 27 %', 'start_char': 2544, 'end_char': 2580}]"
